UserId,Email,UserName,FirstName,LastName,MiddleName,Password,PhoneOne,PhoneTwo,ImageUrl,BirthDate,IsApproved,RoleId,CreatedOn,UpdatedOn,CreatedBy,UpdatedBy,IsTasker,IsEmployee,TotalReviews,AvgReviews,Skills
1,ali88@gmail.com,ali88,Ali,Malik,,@rzVKXCp303,3001239876,,,03/05/1989,1,1,01/01/2023,01/01/2023,,,1,0,114,3.7,"Java Developer,Python,SQL,DB Management,Web Designing,Web Programing,Wordpress"
2,imran23@gmail.com,imran23,Imran,Khan,,*IDNyaJ(f9tg,3001239006,,,24/05/1993,1,1,01/01/2023,01/01/2023,,,1,0,40,3.5,"Machine Learning,Python,FastAPI,Django,Data Science,Ruby on Rails"
3,rlatif007@gmail.com,RLatif007,Rashid,Latif,,*rzujHsr8_hg,3022344876,,,12/04/1983,1,1,01/01/2023,01/01/2023,,,1,0,78,4.4,"Plumber,sanitary worker,sanitary cleaner"
4,husainvfx@gmail.com,husvfx23,Husain,Khan,,)gv90MCxn1)#,3054343212,,,09/11/1993,1,1,01/01/2023,01/01/2023,,,1,0,16,4.2,"Worker,Mazdoor,Mazdor,Mistry"
5,imranrizvii92@gmail.com,imran9083,Imran,Abbas,,1CN8ak^q@o%n,3190093206,,,18/07/1998,1,1,01/01/2023,01/01/2023,,,1,0,78,4.1,"Java Developer,Wordpress,Shopify,website developer,Ecommerece Developer"
6,rashidriaz33@gmail.com,rashii333,Rashid,Riaz,,_(CV&0Zi3*yy,3022344476,,,17/08/1995,1,1,01/01/2023,01/01/2023,,,1,0,8,4.3,"Painter,Wall and door painter"
7,kamrangg@gmail.com,kami232,Kamran,Shah,,Xb4behcq!3_K,3455443442,,,11/04/1997,1,1,01/01/2023,01/01/2023,,,1,0,33,4.1,"Video Editor,Camera Man,Movie Maker,Photo Editor,Adobe Photoshop Expert"
8,mirzakashif@gmail.com,mirzakashii43,Kashif,Mirza,,$^NSvG#HY@9_,3098767876,,,12/12/1977,1,1,01/01/2023,01/01/2023,,,1,0,56,4.3,"Video Editor,Movie Maker,Photo Editor"
9,khang007@gmail.com,khatak78,Khalid,Khatak,,*b5vMyuR&aMd,3022344443,,,02/11/1988,1,1,01/01/2023,01/01/2023,,,1,0,19,4,"Plumber,Mistry,sanitary worker"
10,umair000@gmail.com,umair000,Umair,Bhatti,,8N&I_)e@)Q3T,3090987890,,,11/04/1994,1,1,01/01/2023,01/01/2023,,,1,0,28,3.4,"Worker,Mazdoor,Msitry,Gardner"
11,shahidab90@gmail.com,shah098,Shahid,Abbas,,+w1KXecv+2i&,3433323206,,,09/07/1984,1,1,01/01/2023,01/01/2023,,,1,0,13,4.4,"Cook,Chef"
12,khalid121r@gmail.com,khalid121,Khalid,Rana,,a_OlG+MN+8N),3067876545,,,11/03/1974,1,1,01/01/2023,01/01/2023,,,1,0,12,4.2,"Painter,Wall painter"
13,butt9893@gmail.com,uzibut23,Uzair,Butt,,%@F8KXewXoYc,3099987433,,,07/06/1976,1,1,01/01/2023,01/01/2023,,,1,0,42,3.4,"Electrician,Electric Worker,Wiring maker"
